'Time and date','EEG Fp1','EEG Fp2','EEG F3','EEG F4','EEG F7','EEG F8','EEG T3','EEG T4','EEG C3','EEG C4','EEG T5','EEG T6','EEG P3','EEG P4','EEG O1','EEG O2','EEG Fz','EEG Cz','EEG Pz','EEG A2-A1','ECG ECG','EDF Annotations'
'[00:00:08.708 01/01/2011]',1.287,4.247,-1.718,-7.992,23.399,-1.543,0.508,14.113,-0.004,9.856,1.446,15.321,7.508,9.489,-3.161,-15.875,-7.383,2.528,6.671,0.024,-0.051,0.000
'[00:00:08.710 01/01/2011]',0.836,3.110,-1.633,-8.779,23.893,-2.359,1.925,14.062,1.264,10.185,3.090,15.254,9.573,10.792,-1.965,-14.518,-8.030,4.156,8.841,-0.376,-0.054,0.000
'[00:00:08.712 01/01/2011]',0.325,2.043,-1.684,-9.161,23.541,-2.863,3.114,13.848,2.548,10.369,4.625,15.207,11.790,12.283,-0.173,-12.217,-8.259,5.517,11.151,-0.700,-0.056,0.000
'[00:00:08.714 01/01/2011]',-0.226,1.126,-1.904,-9.094,22.359,-3.005,3.952,13.579,3.704,10.406,5.969,15.336,14.047,13.919,2.182,-9.104,-8.047,6.532,13.459,-0.911,-0.058,0.000
'[00:00:08.716 01/01/2011]',-0.804,0.403,-2.321,-8.630,20.520,-2.853,4.321,13.283,4.574,10.246,7.050,15.677,16.151,15.572,4.958,-5.404,-7.481,7.148,15.558,-1.001,-0.060,0.000
'[00:00:08.718 01/01/2011]',-1.391,-0.117,-2.939,-7.908,18.303,-2.555,4.159,12.941,5.017,9.801,7.808,16.169,17.897,17.052,7.938,-1.404,-6.715,7.370,17.238,-0.982,-0.061,0.000
'[00:00:08.720 01/01/2011]',-1.968,-0.456,-3.724,-7.103,16.047,-2.289,3.483,12.489,4.965,9.001,8.216,16.688,19.062,18.168,10.861,2.601,-5.935,7.237,18.329,-0.887,-0.061,0.000
'[00:00:08.722 01/01/2011]',-2.504,-0.655,-4.606,-6.388,14.081,-2.204,2.367,11.868,4.414,7.805,8.257,17.087,19.475,18.737,13.458,6.318,-5.296,6.812,18.712,-0.747,-0.062,0.000
'[00:00:08.724 01/01/2011]',-2.965,-0.760,-5.485,-5.877,12.663,-2.375,0.911,11.046,3.422,6.247,7.918,17.254,19.020,18.622,15.467,9.474,-4.896,6.135,18.319,-0.581,-0.062,0.000
'[00:00:08.726 01/01/2011]',-3.322,-0.806,-6.259,-5.621,11.950,-2.791,-0.798,10.050,2.080,4.413,7.172,17.141,17.622,17.750,16.645,11.842,-4.750,5.221,17.127,-0.391,-0.061,0.000
'[00:00:08.728 01/01/2011]',-3.546,-0.813,-6.824,-5.571,11.976,-3.359,-2.707,8.977,0.503,2.464,6.002,16.802,15.283,16.132,16.796,13.254,-4.800,4.070,15.146,-0.157,-0.061,0.000
'[00:00:08.730 01/01/2011]',-3.616,-0.767,-7.100,-5.614,12.659,-3.948,-4.799,7.997,-1.181,0.600,4.411,16.386,12.090,13.873,15.825,13.634,-4.921,2.708,12.443,0.145,-0.061,0.000
'[00:00:08.732 01/01/2011]',-3.515,-0.632,-7.034,-5.594,13.815,-4.424,-7.048,7.305,-2.825,-0.955,2.457,16.112,8.236,11.165,13.726,13.009,-4.965,1.212,9.151,0.533,-0.061,0.000
'[00:00:08.734 01/01/2011]',-3.236,-0.355,-6.609,-5.365,15.187,-4.698,-9.397,7.089,-4.263,-1.998,0.265,16.181,4.019,8.263,10.648,11.522,-4.794,-0.262,5.462,1.003,-0.061,0.000
'[00:00:08.736 01/01/2011]',-2.786,0.115,-5.863,-4.824,16.466,-4.723,-11.728,7.457,-5.326,-2.390,-1.984,16.728,-0.202,5.430,6.862,9.396,-4.324,-1.513,1.630,1.518,-0.062,0.000
'[00:00:08.738 01/01/2011]',-2.193,0.806,-4.889,-3.949,17.347,-4.508,-13.876,8.389,-5.866,-2.095,-4.076,17.737,-4.057,2.876,2.719,6.898,-3.539,-2.347,-2.094,2.017,-0.064,0.000
'[00:00:08.740 01/01/2011]',-1.507,1.684,-3.826,-2.801,17.570,-4.096,-15.654,9.726,-5.788,-1.194,-5.804,19.050,-7.245,0.717,-1.403,4.280,-2.508,-2.633,-5.493,2.421,-0.066,0.000
'[00:00:08.742 01/01/2011]',-0.815,2.658,-2.837,-1.523,16.978,-3.564,-16.899,11.203,-5.087,0.111,-7.021,20.362,-9.588,-1.052,-5.185,1.741,-1.364,-2.346,-8.434,2.653,-0.068,0.000
'[00:00:08.744 01/01/2011]',-0.215,3.575,-2.080,-0.287,15.556,-3.011,-17.513,12.489,-3.848,1.541,-7.651,21.322,-11.057,-2.526,-8.392,-0.587,-0.275,-1.581,-10.869,2.658,-0.070,0.000
'[00:00:08.746 01/01/2011]',0.188,4.255,-1.669,0.729,13.440,-2.557,-17.489,13.281,-2.246,2.796,-7.708,21.612,-11.765,-3.841,-10.913,-2.643,0.595,-0.516,-12.829,2.414,-0.071,0.000
'[00:00:08.748 01/01/2011]',0.316,4.535,-1.638,1.391,10.904,-2.316,-16.921,13.373,-0.502,3.618,-7.286,21.028,-11.917,-5.118,-12.743,-4.425,1.121,0.635,-14.372,1.935,-0.072,0.000
'[00:00:08.750 01/01/2011]',0.144,4.333,-1.953,1.631,8.302,-2.384,-15.989,12.690,1.151,3.832,-6.526,19.516,-11.762,-6.427,-13.954,-5.956,1.244,1.680,-15.548,1.272,-0.072,0.000
'[00:00:08.752 01/01/2011]',-0.301,3.669,-2.510,1.468,6.002,-2.806,-14.935,11.293,2.512,3.387,-5.604,17.192,-11.525,-7.763,-14.664,-7.275,0.981,2.480,-16.387,0.499,-0.072,0.000
'[00:00:08.754 01/01/2011]',-0.930,2.666,-3.169,0.985,4.291,-3.547,-14.018,9.358,3.436,2.346,-4.694,14.286,-11.383,-9.078,-15.008,-8.439,0.423,2.963,-16.899,-0.298,-0.072,0.000
'[00:00:08.756 01/01/2011]',-1.619,1.523,-3.788,0.318,3.327,-4.497,-13.491,7.118,3.841,0.871,-3.948,11.083,-11.439,-10.305,-15.102,-9.499,-0.295,3.117,-17.096,-1.041,-0.071,0.000
'[00:00:08.758 01/01/2011]',-2.243,0.461,-4.250,-0.372,3.115,-5.490,-13.553,4.819,3.724,-0.821,-3.485,7.879,-11.716,-11.406,-15.051,-10.508,-1.010,2.965,-17.020,-1.667,-0.071,0.000
'[00:00:08.760 01/01/2011]',-2.691,-0.335,-4.483,-0.937,3.523,-6.349,-14.314,2.673,3.138,-2.490,-3.381,4.926,-12.167,-12.351,-14.938,-11.505,-1.580,2.552,-16.751,-2.136,-0.070,0.000
'[00:00:08.762 01/01/2011]',-2.893,-0.751,-4.445,-1.263,4.344,-6.924,-15.772,0.835,2.194,-3.924,-3.658,2.396,-12.703,-13.156,-14.804,-12.494,-1.896,1.941,-16.406,-2.437,-0.069,0.000
'[00:00:08.764 01/01/2011]',-2.818,-0.754,-4.130,-1.296,5.359,-7.137,-17.778,-0.615,1.045,-4.981,-4.282,0.384,-13.206,-13.837,-14.660,-13.439,-1.913,1.206,-16.089,-2.580,-0.068,0.000
'[00:00:08.766 01/01/2011]',-2.467,-0.381,-3.550,-1.051,6.404,-6.991,-20.065,-1.667,-0.124,-5.601,-5.157,-1.094,-13.559,-14.401,-14.470,-14.263,-1.657,0.443,-15.872,-2.593,-0.067,0.000
'[00:00:08.768 01/01/2011]',-1.866,0.282,-2.725,-0.611,7.394,-6.562,-22.260,-2.368,-1.126,-5.818,-6.134,-2.085,-13.661,-14.836,-14.155,-14.860,-1.217,-0.236,-15.759,-2.520,-0.065,0.000
'[00:00:08.770 01/01/2011]',-1.062,1.113,-1.682,-0.103,8.328,-5.967,-23.961,-2.792,-1.782,-5.728,-7.015,-2.673,-13.438,-15.102,-13.595,-15.110,-0.716,-0.710,-15.670,-2.402,-0.063,0.000
'[00:00:08.772 01/01/2011]',-0.113,1.968,-0.450,0.334,9.249,-5.340,-24.804,-3.016,-1.947,-5.447,-7.580,-2.948,-12.829,-15.138,-12.651,-14.893,-0.289,-0.873,-15.446,-2.277,-0.062,0.000
'[00:00:08.774 01/01/2011]',0.903,2.693,0.943,0.580,10.222,-4.785,-24.544,-3.089,-1.537,-5.065,-7.619,-2.969,-11.788,-14.856,-11.180,-14.118,-0.040,-0.655,-14.882,-2.173,-0.060,0.000
'[00:00:08.776 01/01/2011]',1.893,3.129,2.456,0.564,11.278,-4.379,-23.104,-3.006,-0.530,-4.608,-6.972,-2.748,-10.270,-14.162,-9.085,-12.732,-0.031,-0.031,-13.774,-2.102,-0.059,0.000
'[00:00:08.778 01/01/2011]',2.766,3.147,4.038,0.283,12.432,-4.153,-20.596,-2.703,1.025,-4.017,-5.557,-2.236,-8.234,-12.948,-6.344,-10.733,-0.254,0.965,-11.963,-2.058,-0.059,0.000
'[00:00:08.780 01/01/2011]',3.431,2.677,5.615,-0.213,13.647,-4.109,-17.300,-2.075,3.019,-3.178,-3.408,-1.347,-5.672,-11.120,-3.030,-8.192,-0.660,2.253,-9.378,-2.027,-0.059,0.000
'[00:00:08.782 01/01/2011]',3.820,1.734,7.090,-0.830,14.888,-4.231,-13.598,-1.006,5.294,-1.968,-0.665,0.017,-2.622,-8.624,0.662,-5.237,-1.169,3.736,-6.070,-1.986,-0.060,0.000
'[00:00:08.784 01/01/2011]',3.901,0.423,8.350,-1.466,16.113,-4.497,-9.897,0.591,7.664,-0.299,2.443,1.918,0.799,-5.464,4.455,-2.059,-1.693,5.320,-2.205,-1.915,-0.062,0.000
'[00:00:08.786 01/01/2011]',3.678,-1.075,9.262,-2.039,17.282,-4.884,-6.543,2.735,9.946,1.826,5.643,4.346,4.396,-1.728,8.019,1.122,-2.171,6.931,1.951,-1.802,-0.065,0.000
'[00:00:08.788 01/01/2011]',3.192,-2.545,9.733,-2.496,18.353,-5.372,-3.783,5.348,11.983,4.295,8.665,7.208,7.914,2.393,11.035,4.080,-2.567,8.524,6.073,-1.646,-0.068,0.000
'[00:00:08.790 01/01/2011]',2.512,-3.792,9.720,-2.828,19.259,-5.938,-1.707,8.257,13.664,6.903,11.279,10.319,11.072,6.635,13.265,6.613,-2.883,10.054,9.831,-1.458,-0.071,0.000
'[00:00:08.792 01/01/2011]',1.726,-4.670,9.227,-3.055,19.909,-6.544,-0.292,11.220,14.916,9.384,13.329,13.450,13.617,10.673,14.568,8.602,-3.140,11.471,12.933,-1.251,-0.074,0.000
'[00:00:08.794 01/01/2011]',0.923,-5.124,8.350,-3.218,20.184,-7.131,0.582,13.961,15.719,11.477,14.732,16.332,15.357,14.191,14.922,9.981,-3.369,12.686,15.168,-1.037,-0.076,0.000
'[00:00:08.796 01/01/2011]',0.187,-5.168,7.218,-3.350,19.972,-7.623,1.070,16.230,16.086,12.967,15.490,18.738,16.194,16.906,14.419,10.743,-3.597,13.590,16.422,-0.824,-0.078,0.000
'[00:00:08.798 01/01/2011]',-0.424,-4.875,5.999,-3.470,19.189,-7.935,1.316,17.843,16.049,13.739,15.660,20.496,16.135,18.635,13.215,10.925,-3.826,14.055,16.699,-0.615,-0.078,0.000
'[00:00:08.800 01/01/2011]',-0.872,-4.359,4.836,-3.569,17.818,-7.992,1.427,18.712,15.658,13.779,15.360,21.513,15.279,19.321,11.519,10.591,-4.041,14.000,16.095,-0.410,-0.076,0.000
'[00:00:08.802 01/01/2011]',-1.160,-3.749,3.844,-3.616,15.918,-7.745,1.462,18.859,14.980,13.194,14.746,21.784,13.814,19.024,9.558,9.816,-4.196,13.401,14.801,-0.213,-0.074,0.000
'[00:00:08.804 01/01/2011]',-1.306,-3.171,3.090,-3.556,13.630,-7.192,1.440,18.386,14.094,12.165,13.983,21.368,11.982,17.913,7.560,8.697,-4.226,12.330,13.060,-0.036,-0.071,0.000
'[00:00:08.806 01/01/2011]',-1.353,-2.735,2.599,-3.331,11.142,-6.373,1.364,17.455,13.100,10.911,13.239,20.374,10.046,16.227,5.743,7.345,-4.071,10.935,11.132,0.102,-0.068,0.000
'[00:00:08.808 01/01/2011]',-1.333,-2.504,2.369,-2.886,8.655,-5.361,1.238,16.237,12.103,9.655,12.642,18.940,8.248,14.219,4.287,5.884,-3.669,9.405,9.253,0.183,-0.064,0.000
'[00:00:08.810 01/01/2011]',-1.266,-2.481,2.380,-2.192,6.360,-4.231,1.075,14.897,11.206,8.574,12.260,17.203,6.774,12.118,3.312,4.440,-2.986,7.922,7.582,0.194,-0.061,0.000
'[00:00:08.812 01/01/2011]',-1.132,-2.589,2.599,-1.236,4.411,-3.043,0.913,13.560,10.487,7.768,12.089,15.311,5.703,10.087,2.857,3.110,-2.015,6.629,6.189,0.137,-0.059,0.000
'[00:00:08.814 01/01/2011]',-0.892,-2.686,2.995,-0.043,2.904,-1.837,0.792,12.331,9.989,7.270,12.068,13.410,5.020,8.218,2.862,1.964,-0.784,5.595,5.046,0.032,-0.056,0.000
'[00:00:08.816 01/01/2011]',-0.491,-2.602,3.527,1.331,1.896,-0.625,0.753,11.285,9.714,7.040,12.093,11.658,4.606,6.535,3.187,1.012,0.639,4.828,4.052,-0.086,-0.054,0.000
'[00:00:08.818 01/01/2011]',0.099,-2.188,4.135,2.805,1.390,0.579,0.820,10.484,9.626,6.994,12.064,10.213,4.290,5.013,3.653,0.242,2.164,4.303,3.086,-0.176,-0.053,0.000
'[00:00:08.820 01/01/2011]',0.876,-1.373,4.759,4.269,1.350,1.753,0.986,9.971,9.667,7.029,11.911,9.234,3.908,3.616,4.079,-0.367,3.673,3.977,2.048,-0.202,-0.051,0.000
'[00:00:08.822 01/01/2011]',1.785,-0.194,5.326,5.606,1.687,2.853,1.214,9.764,9.768,7.054,11.608,8.832,3.345,2.316,4.350,-0.824,5.045,3.813,0.903,-0.141,-0.049,0.000
'[00:00:08.824 01/01/2011]',2.732,1.217,5.786,6.700,2.280,3.822,1.428,9.853,9.861,6.998,11.183,9.066,2.583,1.111,4.425,-1.092,6.159,3.786,-0.307,0.008,-0.048,0.000
'[00:00:08.826 01/01/2011]',3.611,2.662,6.096,7.447,2.978,4.611,1.534,10.169,9.890,6.824,10.686,9.907,1.696,0.021,4.350,-1.114,6.918,3.875,-1.482,0.233,-0.046,0.000
'[00:00:08.828 01/01/2011]',4.313,3.920,6.234,7.776,3.617,5.180,1.427,10.615,9.793,6.532,10.172,11.229,0.821,-0.918,4.221,-0.822,7.259,4.046,-2.507,0.505,-0.044,0.000
'[00:00:08.830 01/01/2011]',4.747,4.793,6.188,7.643,4.041,5.503,1.024,11.059,9.516,6.136,9.668,12.834,0.122,-1.668,4.147,-0.162,7.138,4.245,-3.307,0.788,-0.041,0.000
'[00:00:08.832 01/01/2011]',4.844,5.124,5.942,7.022,4.134,5.543,0.282,11.360,8.996,5.647,9.175,14.464,-0.275,-2.202,4.215,0.877,6.543,4.395,-3.857,1.050,-0.038,0.000
'[00:00:08.834 01/01/2011]',4.547,4.802,5.462,5.920,3.833,5.239,-0.789,11.380,8.176,5.061,8.653,15.854,-0.324,-2.515,4.471,2.251,5.476,4.405,-4.214,1.256,-0.034,0.000
'[00:00:08.836 01/01/2011]',3.812,3.762,4.698,4.351,3.144,4.502,-2.136,11.017,6.995,4.344,8.045,16.771,-0.081,-2.629,4.906,3.865,3.953,4.183,-4.494,1.388,-0.029,0.000
'[00:00:08.838 01/01/2011]',2.621,2.008,3.594,2.368,2.140,3.252,-3.668,10.214,5.411,3.436,7.286,17.055,0.304,-2.581,5.485,5.599,2.015,3.655,-4.830,1.433,-0.022,0.000
'[00:00:08.840 01/01/2011]',1.003,-0.366,2.119,0.060,0.953,1.455,-5.295,8.967,3.407,2.279,6.314,16.628,0.619,-2.431,6.141,7.308,-0.258,2.785,-5.340,1.400,-0.014,0.000
'[00:00:08.842 01/01/2011]',-0.947,-3.156,0.289,-2.432,-0.260,-0.823,-6.956,7.337,1.012,0.832,5.086,15.515,0.632,-2.245,6.797,8.862,-2.732,1.579,-6.090,1.310,-0.006,0.000
'[00:00:08.844 01/01/2011]',-3.062,-6.054,-1.812,-4.917,-1.331,-3.395,-8.633,5.439,-1.701,-0.893,3.591,13.833,0.154,-2.091,7.376,10.148,-5.231,0.095,-7.084,1.202,0.003,0.000
'[00:00:08.846 01/01/2011]',-5.128,-8.694,-4.041,-7.183,-2.129,-5.978,-10.361,3.420,-4.618,-2.828,1.841,11.759,-0.927,-2.027,7.800,11.098,-7.547,-1.571,-8.272,1.117,0.012,0.000
'[00:00:08.848 01/01/2011]',-6.927,-10.737,-6.229,-9.041,-2.559,-8.267,-12.201,1.442,-7.588,-4.850,-0.110,9.501,-2.606,-2.101,8.005,11.687,-9.495,-3.304,-9.566,1.092,0.019,0.000
'[00:00:08.850 01/01/2011]',-8.297,-11.968,-8.207,-10.366,-2.585,-10.004,-14.212,-0.363,-10.453,-6.813,-2.170,7.272,-4.773,-2.342,7.946,11.957,-10.940,-4.992,-10.863,1.149,0.025,0.000
'[00:00:08.852 01/01/2011]',-9.166,-12.341,-9.855,-11.134,-2.202,-11.060,-16.421,-1.903,-13.065,-8.575,-4.223,5.229,-7.227,-2.758,7.625,11.987,-11.841,-6.534,-12.068,1.284,0.029,0.000
'[00:00:08.854 01/01/2011]',-9.565,-11.995,-11.115,-11.413,-1.446,-11.449,-18.781,-3.143,-15.318,-10.032,-6.134,3.486,-9.710,-3.337,7.081,11.902,-12.248,-7.859,-13.106,1.473,0.030,0.000
'[00:00:08.856 01/01/2011]',-9.600,-11.193,-12.000,-11.346,-0.356,-11.313,-21.184,-4.102,-17.154,-11.127,-7.778,2.097,-11.970,-4.051,6.388,11.837,-12.281,-8.928,-13.909,1.675,0.029,0.000
'[00:00:08.858 01/01/2011]',-9.414,-10.238,-12.560,-11.095,0.997,-10.851,-23.454,-4.829,-18.566,-11.854,-9.056,1.058,-13.794,-4.857,5.642,11.897,-12.084,-9.717,-14.434,1.848,0.025,0.000
'[00:00:08.860 01/01/2011]',-9.134,-9.385,-12.866,-10.806,2.511,-10.273,-25.391,-5.388,-19.582,-12.239,-9.915,0.325,-15.044,-5.705,4.932,12.137,-11.802,-10.213,-14.655,1.951,0.020,0.000
'[00:00:08.862 01/01/2011]',-8.858,-8.793,-12.986,-10.585,4.039,-9.755,-26.799,-5.843,-20.258,-12.334,-10.357,-0.170,-15.663,-6.544,4.324,12.539,-11.546,-10.417,-14.559,1.958,0.014,0.000
'[00:00:08.864 01/01/2011]',-8.640,-8.541,-12.968,-10.502,5.395,-9.424,-27.534,-6.249,-20.643,-12.209,-10.415,-0.518,-15.668,-7.321,3.834,13.011,-11.399,-10.334,-14.160,1.852,0.008,0.000
'[00:00:08.866 01/01/2011]',-8.514,-8.639,-12.846,-10.603,6.377,-9.386,-27.518,-6.658,-20.770,-11.945,-10.160,-0.808,-15.126,-7.991,3.452,13.411,-11.429,-9.993,-13.489,1.625,0.003,0.000
'[00:00:08.868 01/01/2011]',-8.517,-9.097,-12.659,-10.930,6.829,-9.726,-26.756,-7.111,-20.654,-11.634,-9.654,-1.133,-14.123,-8.511,3.126,13.571,-11.693,-9.434,-12.594,1.272,-0.001,0.000
'[00:00:08.870 01/01/2011]',-8.694,-9.919,-12.447,-11.526,6.687,-10.513,-25.314,-7.637,-20.281,-11.363,-8.956,-1.560,-12.748,-8.839,2.803,13.336,-12.235,-8.710,-11.524,0.792,-0.004,0.000
'[00:00:08.872 01/01/2011]',-9.080,-11.102,-12.258,-12.407,6.019,-11.769,-23.305,-8.239,-19.634,-11.199,-8.096,-2.121,-11.075,-8.937,2.429,12.592,-13.073,-7.871,-10.316,0.189,-0.005,0.000
'[00:00:08.874 01/01/2011]',-9.683,-12.596,-12.122,-13.541,5.023,-13.440,-20.852,-8.875,-18.692,-11.166,-7.099,-2.793,-9.161,-8.762,1.965,11.295,-14.165,-6.948,-8.992,-0.521,-0.005,0.000
'[00:00:08.876 01/01/2011]',-10.445,-14.274,-12.046,-14.825,3.991,-15.372,-18.065,-9.462,-17.451,-11.226,-5.981,-3.507,-7.056,-8.273,1.408,9.469,-15.397,-5.936,-7.551,-1.308,-0.005,0.000
'[00:00:08.878 01/01/2011]',-11.248,-15.919,-11.992,-16.088,3.218,-17.316,-15.027,-9.870,-15.923,-11.273,-4.760,-4.148,-4.808,-7.441,0.778,7.230,-16.595,-4.814,-5.978,-2.127,-0.006,0.000
'[00:00:08.880 01/01/2011]',-11.916,-17.253,-11.882,-17.111,2.941,-18.961,-11.801,-9.956,-14.148,-11.164,-3.471,-4.584,-2.475,-6.255,0.133,4.747,-17.542,-3.540,-4.267,-2.915,-0.009,0.000
'[00:00:08.882 01/01/2011]',-12.267,-18.017,-11.611,-17.675,3.275,-20.009,-8.441,-9.597,-12.186,-10.744,-2.156,-4.687,-0.139,-4.742,-0.446,2.241,-18.032,-2.090,-2.439,-3.605,-0.014,0.000
'[00:00:08.884 01/01/2011]',-12.152,-18.009,-11.092,-17.613,4.195,-20.224,-5.023,-8.708,-10.120,-9.879,-0.871,-4.375,2.100,-2.969,-0.870,-0.065,-17.907,-0.477,-0.547,-4.132,-0.023,0.000
'[00:00:08.886 01/01/2011]',-11.497,-17.163,-10.269,-16.829,5.559,-19.495,-1.655,-7.280,-8.041,-8.498,0.330,-3.620,4.123,-1.049,-1.058,-1.966,-17.088,1.250,1.316,-4.447,-0.033,0.000
'[00:00:08.888 01/01/2011]',-10.315,-15.538,-9.142,-15.308,7.156,-17.830,1.522,-5.367,-6.042,-6.602,1.401,-2.461,5.807,0.875,-0.968,-3.330,-15.571,2.999,3.035,-4.524,-0.045,0.000
'[00:00:08.890 01/01/2011]',-8.701,-13.295,-7.772,-13.105,8.768,-15.363,4.351,-3.091,-4.199,-4.249,2.311,-1.016,7.052,2.648,-0.601,-4.110,-13.421,4.672,4.499,-4.374,-0.056,0.000
'[00:00:08.892 01/01/2011]',-6.796,-10.657,-6.252,-10.323,10.215,-12.300,6.703,-0.620,-2.550,-1.549,3.059,0.540,7.801,4.125,-0.002,-4.352,-10.737,6.186,5.623,-4.036,-0.067,0.000
'[00:00:08.894 01/01/2011]',-4.750,-7.861,-4.672,-7.096,11.387,-8.892,8.516,1.851,-1.077,1.361,3.671,1.978,8.066,5.191,0.756,-4.180,-7.651,7.489,6.373,-3.581,-0.076,0.000
'[00:00:08.896 01/01/2011]',-2.702,-5.121,-3.113,-3.581,12.255,-5.393,9.823,4.115,0.288,4.333,4.219,3.048,7.938,5.773,1.598,-3.758,-4.307,8.559,6.753,-3.098,-0.083,0.000
'[00:00:08.898 01/01/2011]',-0.759,-2.623,-1.613,0.037,12.861,-2.059,10.759,5.963,1.653,7.200,4.794,3.512,7.564,5.837,2.455,-3.258,-0.872,9.400,6.809,-2.681,-0.088,0.000
'[00:00:08.900 01/01/2011]',0.990,-0.536,-0.187,3.532,13.302,0.878,11.526,7.205,3.129,9.777,5.496,3.175,7.124,5.378,3.284,-2.826,2.455,10.009,6.599,-2.413,-0.093,0.000
'[00:00:08.902 01/01/2011]',2.479,1.000,1.145,6.661,13.701,3.212,12.345,7.684,4.788,11.873,6.409,1.930,6.775,4.405,4.046,-2.556,5.453,10.363,6.167,-2.351,-0.095,0.000
'[00:00:08.904 01/01/2011]',3.646,1.889,2.359,9.181,14.175,4.791,13.403,7.310,6.626,13.301,7.560,-0.218,6.616,2.955,4.711,-2.496,7.901,10.413,5.534,-2.517,-0.096,0.000
'[00:00:08.906 01/01/2011]',4.450,2.098,3.392,10.892,14.805,5.532,14.804,6.083,8.559,13.916,8.922,-3.134,6.651,1.075,5.244,-2.643,9.616,10.098,4.699,-2.892,-0.096,0.000
'[00:00:08.908 01/01/2011]',4.877,1.677,4.169,11.675,15.602,5.446,16.550,4.110,10.411,13.639,10.404,-6.563,6.807,-1.150,5.603,-2.968,10.475,9.364,3.645,-3.423,-0.095,0.000
'[00:00:08.910 01/01/2011]',4.941,0.762,4.613,11.518,16.488,4.645,18.543,1.597,11.960,12.492,11.860,-10.172,6.931,-3.598,5.749,-3.415,10.452,8.189,2.366,-4.031,-0.093,0.000
'[00:00:08.912 01/01/2011]',4.689,-0.456,4.664,10.502,17.308,3.309,20.586,-1.178,12.981,10.594,13.131,-13.586,6.850,-6.117,5.666,-3.917,9.606,6.592,0.866,-4.625,-0.091,0.000
'[00:00:08.914 01/01/2011]',4.174,-1.789,4.309,8.793,17.843,1.649,22.419,-3.910,13.285,8.148,14.049,-16.453,6.406,-8.536,5.352,-4.400,8.072,4.633,-0.820,-5.121,-0.089,0.000
'[00:00:08.916 01/01/2011]',3.447,-3.103,3.568,6.584,17.877,-0.144,23.743,-6.326,12.758,5.396,14.473,-18.501,5.488,-10.692,4.831,-4.769,6.019,2.409,-2.647,-5.446,-0.088,0.000
'[00:00:08.918 01/01/2011]',2.534,-4.355,2.507,4.079,17.247,-1.940,24.277,-8.219,11.388,2.589,14.295,-19.562,4.063,-12.437,4.151,-4.937,3.637,0.026,-4.545,-5.554,-0.089,0.000
'[00:00:08.920 01/01/2011]',1.448,-5.566,1.222,1.470,15.914,-3.661,23.803,-9.482,9.253,-0.049,13.457,-19.597,2.179,-13.663,3.369,-4.792,1.112,-2.399,-6.434,-5.426,-0.090,0.000
'[00:00:08.922 01/01/2011]',0.212,-6.794,-0.164,-1.067,13.987,-5.275,22.226,-10.087,6.545,-2.329,11.971,-18.676,-0.030,-14.291,2.562,-4.232,-1.374,-4.740,-8.208,-5.060,-0.091,0.000
'[00:00:08.924 01/01/2011]',-1.121,-8.059,-1.521,-3.356,11.716,-6.744,19.638,-10.073,3.535,-4.094,9.921,-16.963,-2.361,-14.262,1.828,-3.155,-3.629,-6.868,-9.741,-4.476,-0.091,0.000
'[00:00:08.926 01/01/2011]',-2.445,-9.297,-2.704,-5.216,9.438,-7.977,16.297,-9.505,0.552,-5.216,7.468,-14.660,-4.566,-13.539,1.281,-1.494,-5.458,-8.643,-10.877,-3.700,-0.089,0.000
'[00:00:08.928 01/01/2011]',-3.609,-10.358,-3.586,-6.473,7.507,-8.830,12.604,-8.449,-2.066,-5.589,4.827,-11.986,-6.393,-12.106,1.043,0.777,-6.675,-9.925,-11.454,-2.762,-0.084,0.000
'[00:00:08.930 01/01/2011]',-4.452,-11.045,-4.074,-6.979,6.198,-9.120,8.992,-6.966,-4.028,-5.149,2.237,-9.129,-7.632,-9.975,1.209,3.620,-7.136,-10.598,-11.337,-1.687,-0.075,0.000
'[00:00:08.932 01/01/2011]',-4.844,-11.173,-4.130,-6.657,5.657,-8.689,5.831,-5.118,-5.141,-3.888,-0.098,-6.243,-8.165,-7.216,1.836,6.933,-6.771,-10.591,-10.446,-0.499,-0.061,0.000
'[00:00:08.934 01/01/2011]',-4.731,-10.639,-3.780,-5.532,5.873,-7.462,3.333,-2.981,-5.346,-1.878,-2.047,-3.438,-7.991,-3.954,2.899,10.548,-5.611,-9.911,-8.804,0.788,-0.040,0.000
'[00:00:08.936 01/01/2011]',-4.149,-9.456,-3.118,-3.738,6.698,-5.500,1.515,-0.657,-4.726,0.721,-3.567,-0.793,-7.238,-0.383,4.280,14.256,-3.801,-8.638,-6.539,2.159,-0.012,0.000
'[00:00:08.938 01/01/2011]',-3.223,-7.761,-2.285,-1.511,7.896,-3.009,0.240,1.714,-3.479,3.663,-4.709,1.629,-6.133,3.253,5.798,17.813,-1.590,-6.938,-3.881,3.597,0.024,0.000
'[00:00:08.940 01/01/2011]',-2.137,-5.776,-1.447,0.840,9.203,-0.306,-0.723,3.968,-1.866,6.657,-5.571,3.763,-4.952,6.692,7.216,20.976,0.725,-5.019,-1.129,5.079,0.070,0.000
'[00:00:08.942 01/01/2011]',-1.086,-3.771,-0.746,2.995,10.372,2.244,-1.598,5.933,-0.158,9.397,-6.265,5.533,-3.964,9.681,8.298,23.517,2.828,-3.121,1.405,6.569,0.125,0.000
